elev_ft_NAVD88,area_ft2,volume_ft3
4172.66,1140920954,1343125244
4172.67,1144214172,1354282651
4172.68,1147702217,1366032047
4172.69,1150921434,1377254910
4172.7,1154047812,1389071363
4172.71,1157030222,1400355324
4172.72,1160697486,1412235905
4172.73,1164057979,1423586552
4172.74,1168169793,1435541387
4172.75,1171752022,1446965949
4172.76,1175443505,1458424937
4172.77,1179432880,1470498519
4172.78,1182982817,1482032556
4172.79,1187523842,1494184909
4172.8,1191378667,1505799193
4172.81,1195473259,1518035687
4172.82,1199924136,1529730402
4172.83,1205683635,1542062229
4172.84,1209933227,1553855661
4172.85,1215415018,1566287799
4172.86,1219956311,1578178087
4172.87,1225120567,1590712996
4172.88,1229223769,1602695071
4172.89,1234571280,1615324038
4172.9,1238892452,1627400328
4172.91,1244153313,1640129382
4172.92,1249160953,1652301431
4172.93,1255377111,1665141091
4172.94,1260388250,1677423717
4172.95,1265798999,1690373202
4172.96,1271017881,1702759287
4172.97,1276319376,1715818221
4172.98,1281421469,1728305108
4172.99,1286631202,1741470391
4173,1291546003,1754058091
4173.01,1296784529,1766695053
4173.02,1302821468,1780022792
4173.03,1309094137,1792775230
4173.04,1315812701,1806231825
4173.05,1322535301,1819112445
4173.06,1330338598,1832711202
4173.07,1337315227,1845736219
4173.08,1343697149,1859480685
4173.09,1352123407,1872640775
4173.1,1359617242,1886541182
4173.11,1369240447,1899862389
4173.12,1377920733,1913947978
4173.13,1389867059,1927454349
4173.14,1404833200,1941794216
4173.15,1415630479,1955560539
4173.16,1431974670,1970151920
4173.17,1445081345,1984201175
4173.18,1454638621,1999067181
4173.19,1465353018,2013318074
4173.2,1477222651,2028407561
4173.21,1485849925,2042872577
4173.22,1495736307,2058159141
4173.23,1504635909,2072807726
4173.24,1515693943,2088292661
4173.25,1522887195,2103127827
4173.26,1530242444,2118033388
4173.27,1540783542,2133770792
4173.28,1552149155,2148879791
4173.29,1559040479,2164830470
4173.3,1566511440,2180088268
4173.31,1577305759,2196206659
4173.32,1584079488,2211643333
4173.33,1592246874,2227925258
4173.34,1602085626,2243515799
4173.35,1610101241,2259990093
4173.36,1615635775,2275740210
4173.37,1624703293,2292344538
4173.38,1631654088,2308248611
4173.39,1636124340,2325002715
4173.4,1640547769,2341001051
4173.41,1647959529,2357859774
4173.42,1653003228,2373977299
4173.43,1656862897,2390946577
4173.44,1660682202,2407145061
4173.45,1664544024,2424193628
4173.46,1668129213,2440465504
4173.47,1672215732,2457590359
4173.48,1676302519,2473939905
4173.49,1680013646,2491148871
4173.5,1683482586,2507570114
4173.51,1687460389,2524032361
4173.52,1690622018,2541349677
4173.53,1694987591,2557879912
4173.54,1698080870,2575275223
4173.55,1701348255,2591872544
4173.56,1705482942,2609336047
4173.57,1710219601,2626013396
4173.58,1714147890,2643568001
4173.59,1719386685,2660333406
4173.6,1722864774,2677980748
4173.61,1726538227,2694822037
4173.62,1730203339,2712543885
4173.63,1734756742,2729460520
4173.64,1738271697,2747266492
4173.65,1742165003,2764259574
4173.66,1746612651,2782144250
4173.67,1750690559,2799218867
4173.68,1754726218,2817190160
4173.69,1758966122,2834345307
4173.7,1762197179,2852397853
4173.71,1765481517,2869621131
4173.72,1769460935,2887742019
4173.73,1773114206,2905038808
4173.74,1777780361,2923244055
4173.75,1781290203,2940621050
4173.76,1784580462,2958031560
4173.77,1788255530,2976348484
4173.78,1792606571,2993829524
4173.79,1796673715,3012230524
4173.8,1800336943,3029792128
4173.81,1804138218,3048271309
4173.82,1807731480,3065905527
4173.83,1812104050,3084462405
4173.84,1816699163,3102179075
4173.85,1820755812,3120828891
4173.86,1824410428,3138627430
4173.87,1828183717,3157353969
4173.88,1832188699,3175225163
4173.89,1836578491,3194034833
4173.9,1840454037,3211988688
4173.91,1843957151,3230878331
4173.92,1847700301,3248903575
4173.93,1851392053,3267868400
4173.94,1855284553,3285966424
4173.95,1860040586,3305014726
4173.96,1863882764,3323197165
4173.97,1867892859,3342330761
4173.98,1871680948,3360589670
4173.99,1875503213,3379801172
4174,1880472372,3398138593
4174.01,1885269847,3416525047
4174.02,1889516748,3435875444
4174.03,1894061271,3454351470
4174.04,1899205882,3473798638
4174.05,1903879841,3492367099
4174.06,1909798377,3511917630
4174.07,1915830203,3530592932
4174.08,1924308397,3550283870
4174.09,1931137022,3569109985
4174.1,1937519483,3588943873
4174.11,1943330380,3607890066
4174.12,1950520403,3627849177
4174.13,1963182260,3646938442
4174.14,1974639366,3667145125
4174.15,1981508894,3686460796
4174.16,1987288037,3706806680
4174.17,1992584419,3726237623
4174.18,1998627009,3746694946
4174.19,2008164372,3766253638
4174.2,2016583096,3786898068
4174.21,2020902115,3806608785
4174.22,2024762322,3827351536
4174.23,2028233683,3847139844
4174.24,2032617555,3867957852
4174.25,2035927188,3887822149
4174.26,2039150979,3907720752
4174.27,2042658938,3928645159
4174.28,2046434379,3948613443
4174.29,2050564492,3969616461
4174.3,2055495708,3989666447
4174.31,2058459551,4010759173
4174.32,2060946552,4030873214
4174.33,2064933236,4052022524
4174.34,2068876594,4072207356
4174.35,2072886420,4093442438
4174.36,2077016533,4113705935
4174.37,2080393979,4135021113
4174.38,2083437205,4155351810
4174.39,2086994677,4176731685
4174.4,2091962491,4197137667
4174.41,2095343974,4218606476
4174.42,2098212556,4239082053
4174.43,2101306911,4260611479
4174.44,2104781770,4281149283
4174.45,2108412976,4302748430
4174.46,2112758904,4323359641
4174.47,2115829848,4345039050
4174.48,2118692241,4365714900
4174.49,2121974964,4387454984
4174.5,2125968913,4408196519
4174.51,2129370309,4428973851
4174.52,2132914327,4450825721
4174.53,2135755730,4471668052
4174.54,2139158202,4493584263
4174.55,2142166177,4514488398
4174.56,2146142903,4536472898
4174.57,2149409212,4557447105
4174.58,2152466163,4579501654
4174.59,2155261012,4600535149
4174.6,2158693354,4622650120
4174.61,2162367615,4643748044
4174.62,2165902483,4665938980
4174.63,2168610683,4687103278
4174.64,2171239230,4709352440
4174.65,2174036232,4730568426
4174.66,2177709147,4752877374
4174.67,2181661386,4774163779
4174.68,2184745515,4796550174
4174.69,2187596606,4817898679
4174.7,2190471108,4840344084
4174.71,2193476123,4861748870
4174.72,2197101677,4884257898
4174.73,2200471588,4905731018
4174.74,2203452923,4928308995
4174.75,2206336574,4949840882
4174.76,2209637058,4971402856
4174.77,2212752403,4994075710
4174.78,2216091368,5015700541
4174.79,2219153431,5038440272
4174.8,2222185894,5060125086
4174.81,2225603974,5082928394
4174.82,2228883737,5104678214
4174.83,2231657597,5127547093
4174.84,2234395398,5149352923
4174.85,2237431359,5172279552
4174.86,2240507415,5194143205
4174.87,2244269671,5217136266
4174.88,2247255041,5239066946
4174.89,2250292886,5262125303
4174.9,2253662797,5284115875
4174.91,2257643291,5307244864
4174.92,2260754600,5329306947
4174.93,2264380961,5352505558
4174.94,2267753294,5374634980
4174.95,2271567217,5397907071
4174.96,2274868777,5420105627
4174.97,2278431093,5443448935
4174.98,2282420468,5465717508
4174.99,2286210710,5489139391
4175,2289711941,5511481966
4175.01,2293209404,5533858325
4175.02,2296398213,5557388370
4175.03,2299631691,5579828745
4175.04,2303827464,5603428510
4175.05,2307987177,5625946361
4175.06,2312041673,5649632214
4175.07,2316881396,5672229480
4175.08,2323817929,5696027318
4175.09,2327075357,5718735981
4175.1,2330793750,5742614306
4175.11,2335382136,5765397486
4175.12,2339260642,5789362711
4175.13,2345093605,5812227257
4175.14,2358087798,5836346257
4175.15,2362646045,5859395392
4175.16,2368646925,5883649494
4175.17,2373753593,5906804092
4175.18,2378737014,5931165037
4175.19,2388204950,5954442875
4175.2,2398180942,5978986494
4175.21,2402215525,6002423529
4175.22,2406160498,6027075558
4175.23,2409225791,6050586976
4175.24,2413334913,6075308825
4175.25,2416233365,6098891012
4175.26,2419302964,6122501071
4175.27,2423242017,6147326941
4175.28,2427216860,6171010660
4175.29,2431335670,6195919879
4175.3,2434446171,6219678217
4175.31,2438180710,6244659815
4175.32,2441850127,6268486727
4175.33,2445842999,6293544988
4175.34,2449597989,6317448318
4175.35,2453030331,6342583798
4175.36,2455778896,6366552685
4175.37,2459217696,6391749621
4175.38,2463529450,6415784287
4175.39,2468029571,6441069014
4175.4,2470762259,6465184276
4175.41,2473716953,6490532809
4175.42,2477433731,6514708274
4175.43,2481106915,6540129003
4175.44,2484449110,6564375166
4175.45,2487824672,6589866487
4175.46,2491058689,6614177575
4175.47,2494433713,6639736405
4175.48,2497893234,6664112722
4175.49,2501275254,6689742412
4175.5,2504183394,6714182558
4175.51,2507052783,6738650275
4175.52,2510104352,6764371658
4175.53,2513332179,6788899285
4175.54,2516738150,6814687001
4175.55,2520411334,6839280846
4175.56,2523457790,6865139456
4175.57,2526161415,6889794305
4175.58,2529592143,6915712949
4175.59,2533379424,6940433913
4175.6,2536334925,6966425110
4175.61,2538939253,6991206540
4175.62,2542197220,7017256116
4175.63,2545302877,7042097474
4175.64,2548501911,7068213027
4175.65,2551649279,7093115491
4175.66,2554880066,7119296552
4175.67,2557576426,7144259578
4175.68,2560641180,7170499670
4175.69,2563649693,7195520174
4175.7,2566991887,7221824328
4175.71,2569871233,7246906492
4175.72,2573386188,7273274500
4175.73,2576514450,7298419965
4175.74,2579596427,7324854540
4175.75,2582442135,7350059947
4175.76,2585494780,7375293585
4175.77,2588134360,7401818147
4175.78,2591472518,7427107016
4175.79,2594757125,7453695955
4175.8,2597852019,7479050368
4175.81,2600352206,7505700928
4175.82,2602860735,7531106446
4175.83,2606003797,7557810722
4175.84,2609340878,7583276317
4175.85,2612067915,7610045571
4175.86,2615470118,7635569618
4175.87,2618393058,7662403423
4175.88,2621066544,7687986126
4175.89,2624124571,7714876089
4175.9,2627702764,7740519155
4175.91,2630743569,7767478267
4175.92,2633849495,7793183182
4175.93,2637556048,7820208543
4175.94,2641644988,7845984610
4175.95,2645239058,7873089640
4175.96,2648811062,7898938270
4175.97,2652275157,7926115759
4175.98,2655470155,7952031478
4175.99,2659197428,7979278183
4176,2663643192,8005266611
4176.01,2667506359,8031296016
4176.02,2671096393,8058665732
4176.03,2674678622,8084765843
4176.04,2679458067,8112213625
4176.05,2685123921,8138406681
4176.06,2689557575,8165960674
4176.07,2694471570,8192244122
4176.08,2700891435,8219906284
4176.09,2705908493,8246302288
4176.1,2712764835,8274079105
4176.11,2720516734,8300603631
4176.12,2725670495,8328523508
4176.13,2730241928,8355161241
4176.14,2740843303,8383209325
4176.15,2747925418,8410004639
4176.16,2759421005,8438234871
4176.17,2764705547,8465206704
4176.18,2770792000,8493578630
4176.19,2779754301,8520681649
4176.2,2786736311,8549217670
4176.21,2793264354,8576463404
4176.22,2797294362,8605126406
4176.23,2800823579,8632459765
4176.24,2804953692,8661199575
4176.25,2810077044,8688615860
4176.26,2816212204,8716086414
4176.27,2821097673,8744989372
4176.28,2825322508,8772558084
4176.29,2831220055,8801553876
4176.3,2835790949,8829226196
4176.31,2839996678,8858323661
4176.32,2844803841,8886078868
4176.33,2849464345,8915272140
4176.34,2854473061,8943122045
4176.35,2859051222,8972414362
4176.36,2864049712,9000357257
4176.37,2869941877,9029752300
4176.38,2875068997,9057803364
4176.39,2879279300,9087305433
4176.4,2883622538,9115443062
4176.41,2887336356,9145029985
4176.42,2891449516,9173244572
4176.43,2895510201,9202913411
4176.44,2899636008,9231208785
4176.45,2904318309,9260964785
4176.46,2908259245,9289344340
4176.47,2912805652,9319188507
4176.48,2916728290,9347650864
4176.49,2921680496,9377583302
4176.5,2926047684,9406135298
4176.51,2929459574,9434725796
4176.52,2933382750,9464784217
4176.53,2937304581,9493448299
4176.54,2941232332,9523586749
4176.55,2945150665,9552327711
4176.56,2949256289,9582547440
4176.57,2952965802,9611366325
4176.58,2956767615,9641665313
4176.59,2959921441,9670554360
4176.6,2964398420,9700926373
4176.61,2967643201,9729891463
4176.62,2970957678,9760337549
4176.63,2974041538,9789365482
4176.64,2977449931,9819877744
4176.65,2980817420,9848969629
4176.66,2984685162,9879554229
4176.67,2988194735,9908718323
4176.68,2991289628,9939374044
4176.69,2995220339,9968603021
4176.7,2999099115,9999336137
4176.71,3002315640,10028639747
4176.72,3005544275,10059440730
4176.73,3010222001,10088812473
4176.74,3013983181,10119697839
4176.75,3017358474,10149146915
4176.76,3020728654,10178629178
4176.77,3024816518,10209622593
4176.78,3029620183,10239184824
4176.79,3033077820,10270267861
4176.8,3036448538,10299902373
4176.81,3040815457,10331058566
4176.82,3044845734,10360772937
4176.83,3048531297,10392012259
4176.84,3052714960,10421802421
4176.85,3056336746,10453122723
4176.86,3060205027,10482987002
4176.87,3064140581,10514385418
4176.88,3068380755,10544327688
4176.89,3072761128,10575812990
4176.9,3076970355,10605839579
4176.91,3081081900,10637410800
4176.92,3085072082,10667517236
4176.93,3089955130,10699174929
4176.94,3094251275,10729370856
4176.95,3097707836,10761116243
4176.96,3101071020,10791382261
4176.97,3105868495,10823203182
4176.98,3110750197,10853555513
4176.99,3116441346,10885481294
4177,3120556927,10915934951
4177.01,3124864375,10946427115
4177.02,3130434160,10978499082
4177.03,3135038692,11009091027
4177.04,3139846393,11041260277
4177.05,3145163226,11071945545
4177.06,3150443193,11104222103
4177.07,3156029125,11135012995
4177.08,3162862055,11167408022
4177.09,3172057394,11198328966
4177.1,3183567782,11230912453
4177.11,3188730423,11262028255
4177.12,3193026030,11294746529
4177.13,3201247236,11325964048
4177.14,3213140280,11358855302
4177.15,3220526476,11390272076
4177.16,3225692076,11423319978
4177.17,3231018328,11454844160
4177.18,3247534203,11488054173
4177.19,3266324493,11519889518
4177.2,3270441958,11553402510
4177.21,3273860576,11585356688
4177.22,3278033744,11618946045
4177.23,3282648232,11650980348
4177.24,3286889482,11684661094
4177.25,3291730281,11716781168
4177.26,3296923061,11748953116
4177.27,3301863158,11782783514
4177.28,3307348177,11815053437
4177.29,3313104986,11848994223
4177.3,3318596194,11881375203
4177.31,3325917806,11915436264
4177.32,3333027369,11947952103
4177.33,3337854983,11982150995
4177.34,3343321435,12014772288
4177.35,3349421612,12049089166
4177.36,3353779381,12081818307
4177.37,3357506654,12116225794
4177.38,3362113070,12149033617
4177.39,3367737751,12183536017
4177.4,3372813204,12216447245
4177.41,3378634596,12251060081
4177.42,3383588416,12284078401
4177.43,3387711263,12318794408
4177.44,3391208996,12351894209
4177.45,3394984168,12386684521
4177.46,3399461417,12419858892
4177.47,3403832103,12454738671
4177.48,3407792953,12487996808
4177.49,3413854111,12522970471
4177.5,3419386222,12556332768
4177.51,3425289689,12589753383
4177.52,3429718769,12624899296
4177.53,3434560645,12658413426
4177.54,3439461184,12693656775
4177.55,3444472054,12727267002
4177.56,3450367179,12762614914
4177.57,3455243230,12796334134
4177.58,3460141616,12831787340
4177.59,3465273580,12865601475
4177.6,3471031465,12901165971
4177.61,3475690085,12935084066
4177.62,3480391492,12970748111
4177.63,3484383557,13004755004
4177.64,3489246154,13040508255
4177.65,3492954590,13074600306
4177.66,3498839489,13110444644
4177.67,3503225782,13144633525
4177.68,3507611538,13180577842
4177.69,3512010210,13214851808
4177.7,3516626044,13250886122
4177.71,3521002650,13285249473
4177.72,3525527259,13321375851
4177.73,3529384776,13355823629
4177.74,3534077841,13392035670
4177.75,3538306174,13426568641
4177.76,3542563031,13461141547
4177.77,3546623447,13497486558
4177.78,3550756251,13532140564
4177.79,3555265253,13568570205
4177.8,3560350124,13603313900
4177.81,3565309596,13639844400
4177.82,3569765048,13674683132
4177.83,3573694951,13711306089
4177.84,3577802998,13746224569
4177.85,3582517321,13782932430
4177.86,3586943979,13817938836
4177.87,3591211870,13854738624
4177.88,3595824744,13889830697
4177.89,3600418781,13926723509
4177.9,3605478895,13961906596
4177.91,3610235198,13998899210
4177.92,3614707064,14034175968
4177.93,3619136683,14071262017
4177.94,3623409417,14106624350
4177.95,3628487561,14143801541
4177.96,3633914455,14179259862
4177.97,3638680177,14216544837
4177.98,3643951802,14252103059
4177.99,3649393497,14289494893
4178,3654626641,14325158873
4178.01,3659951547,14360873137
4178.02,3664788041,14398427190
4178.03,3670397653,14434240561
4178.04,3675213965,14471901197
4178.05,3681906695,14507817304
4178.06,3687401672,14545599437
4178.07,3693868091,14581638282
4178.08,3701303531,14619550120
4178.09,3709283625,14655730158
4178.1,3718990520,14693814265
4178.11,3726592800,14730167380
4178.12,3738277025,14768441032
4178.13,3744924009,14804978106
4178.14,3752607826,14843421761
4178.15,3759305131,14880099713
4178.16,3767929446,14918686591
4178.17,3776584437,14955530723
4178.18,3783976821,14994286698
4178.19,3793776555,15031293525
4178.2,3797892136,15070214184
4178.21,3801777369,15107321802
4178.22,3805119832,15146321301
4178.23,3808664119,15183497360
4178.24,3812258189,15222567966
4178.25,3816691574,15259819806
4178.26,3821077330,15297112319
4178.27,3825911671,15336314550
4178.28,3830626802,15373700678
4178.29,3835382567,15413001562
4178.3,3839891569,15450476034
4178.31,3844829243,15489871626
4178.32,3849655243,15527442805
4178.33,3855468831,15566941243
4178.34,3859333613,15604610327
4178.35,3863697571,15644204800
4178.36,3868037580,15681954402
4178.37,3873514527,15721645303
4178.38,3880454020,15759503232
4178.39,3884911893,15799315469
4178.4,3891553764,15837288572
4178.41,3896484711,15877214764
4178.42,3900821222,15915284855
4178.43,3905947265,15955308506
4178.44,3909949018,15993469603
4178.45,3914378905,16033583334
4178.46,3918707881,16071829788
4178.47,3923366770,16112031947
4178.48,3927726961,16150366375
4178.49,3932066701,16190660317
4178.5,3936069261,16229077390
4178.51,3940074243,16267532001
4178.52,3943990961,16307954876
4178.53,3948130492,16346487500
4178.54,3951638719,16386988488
4178.55,3954999481,16425594370
4178.56,3958727292,16466165822
4178.57,3962296336,16504843469
4178.58,3966232967,16545489692
4178.59,3969772141,16584239150
4178.6,3974764981,16624971997
4178.61,3978479337,16663803547
4178.62,3983900581,16704627597
4178.63,3987489268,16743549354
4178.64,3991454155,16784456326
4178.65,3994990638,16823451763
4178.66,3999008805,16864435232
4178.67,4002704325,16903505019
4178.68,4006319115,16944566201
4178.69,4010380877,16983709405
4178.7,4014515564,17024850968
4178.71,4017910501,17064071373
4178.72,4022353036,17105291737
4178.73,4026321959,17144591099
4178.74,4030243790,17185895718
4178.75,4033661062,17225269528
4178.76,4037501356,17264678836
4178.77,4041393586,17306096937
4178.78,4045725522,17345583276
4178.79,4049625018,17387086705
4178.8,4054435678,17426655612
4178.81,4058450886,17468248808
4178.82,4062245703,17507899555
4178.83,4066816866,17549575111
4178.84,4070680841,17589309449
4178.85,4074797768,17631070440
4178.86,4078378652,17670880247
4178.87,4083125805,17712720499
4178.88,4087150431,17752614585
4178.89,4091989616,17794547597
4178.9,4095965536,17834526944
4178.91,4100856657,17876550308
4178.92,4105526579,17916620535
