date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
2011-03-31,12220796808.195778,20969908901.808907,172505593011.75635,330172883821.52435
2011-04-01,12179734054.097376,20980865954.13184,171893423301.51227,330383974417.0252
2011-04-02,12236115049.579834,21044290909.429676,172750638398.68198,331645941026.9327
2011-04-03,12297255793.681625,21185416534.109886,173608336778.77078,334388138570.93646
2011-04-04,12189107788.419512,21032981185.42294,172017023314.98843,331434026669.458
2011-04-05,12236115049.579834,21118895822.92235,172750638398.68198,333117643444.92206
2011-04-06,12189107788.419512,21065011557.45938,172017023314.98843,332067463437.8155
2011-04-07,12320785024.712753,21118895822.92235,173974888869.65872,333117643444.92206
2011-04-08,12245657164.084757,21206071918.51059,172871585716.09637,334812301031.146
2011-04-09,12305448272.197876,21250522744.438778,173728513615.6992,335662661285.7358
2011-04-10,12445832419.654245,21339812033.691437,175588064431.3918,337367654537.4439
2011-04-11,12297255793.681625,21313794882.76033,173608336778.77078,336940959979.01355
2011-04-12,12377364582.910845,21415413094.300106,174716873611.02423,338859932926.536
2011-04-13,12467802376.130325,21575391502.244728,175837368861.35803,341872257514.67725
2011-04-14,12519373197.749495,21564162305.988426,176461454308.65393,341655458356.37964
2011-04-15,12377364582.910845,21448564411.914143,174716873611.02423,339502845616.0483
2011-04-16,12428541278.040756,21459086107.341793,175338536219.65488,339718674483.1671
2011-04-17,12467802376.130325,21517496236.570793,175837368861.35803,340793352486.9999
2011-04-18,12546708436.452398,21564162305.988426,176834471931.83246,341655458356.37964
2011-04-19,12607526872.935263,21692610608.576866,177589745620.89612,344031382971.4767
2011-04-20,12558878676.200317,21659313602.32096,176961296504.73398,343386110107.98987
2011-04-21,12767926900.818552,21822080010.586483,179622112136.28217,346428130874.9277
2011-04-22,12629829879.631655,21822080010.586483,177842319098.1492,346428130874.9277
2011-04-23,12620100882.794338,21752493449.995155,177717367266.66428,345119881799.0302
2011-04-24,12598993697.6344,21752493449.995155,177465555668.10867,345119881799.0302
2011-04-25,12817865753.568216,21870153697.16554,180259161684.77173,347303206334.85443
2011-04-26,12886114369.626759,22065854411.336765,181161205318.64618,350814282535.274
2011-04-27,12651077870.677912,21870153697.16554,178095185606.81137,347303206334.85443
2011-04-28,12719766750.689455,21857885213.267376,178985825255.22098,347083329889.38336
2011-04-29,12922519535.0965,22115167139.483624,181677952416.59485,351699382404.2782
2011-04-30,12827542280.212122,22028031380.101643,180389028141.06198,350153541169.59045
2011-05-01,12787947980.073965,22002280948.523308,179878042522.12863,349712992795.23364
